Protein	FilterMatch	RegEx
C3VJC2_9ARCH	nitrite reductase	nitrite reductase
C3VJC3_9ARCH	nitrite reductase	nitrite reductase
C3VJC5_9ARCH	nitrite reductase	nitrite reductase
C3VJC6_9ARCH	nitrite reductase	nitrite reductase
C3VJC7_9ARCH	nitrite reductase	nitrite reductase
C3VJC8_9ARCH	nitrite reductase	nitrite reductase
C3VJC9_9ARCH	nitrite reductase	nitrite reductase
C3VJD0_9ARCH	nitrite reductase	nitrite reductase
C3VJD1_9ARCH	nitrite reductase	nitrite reductase
C3VJD2_9ARCH	nitrite reductase	nitrite reductase
C3VJD4_9ARCH	nitrite reductase	nitrite reductase
C3VJD5_9ARCH	nitrite reductase	nitrite reductase
C3VJD6_9ARCH	nitrite reductase	nitrite reductase
C3VJD7_9ARCH	nitrite reductase	nitrite reductase
C3VJD8_9ARCH	nitrite reductase	nitrite reductase
C3VJD9_9ARCH	nitrite reductase	nitrite reductase
C3VJE0_9ARCH	nitrite reductase	nitrite reductase
C3VJE1_9ARCH	nitrite reductase	nitrite reductase
C3VJE2_9ARCH	nitrite reductase	nitrite reductase
C3VJE3_9ARCH	nitrite reductase	nitrite reductase
C3VJE4_9ARCH	nitrite reductase	nitrite reductase
C3VJE5_9ARCH	nitrite reductase	nitrite reductase
C3VJE7_9ARCH	nitrite reductase	nitrite reductase
C3VJE9_9ARCH	nitrite reductase	nitrite reductase
C3VJF0_9ARCH	nitrite reductase	nitrite reductase
C3VJF1_9ARCH	nitrite reductase	nitrite reductase
C3VJF2_9ARCH	nitrite reductase	nitrite reductase
C3VJF3_9ARCH	nitrite reductase	nitrite reductase
C3VJF5_9ARCH	nitrite reductase	nitrite reductase
C3VJF6_9ARCH	nitrite reductase	nitrite reductase
C3VJF7_9ARCH	nitrite reductase	nitrite reductase
C3VJF8_9ARCH	nitrite reductase	nitrite reductase
C3VJF9_9ARCH	nitrite reductase	nitrite reductase
C3VJG0_9ARCH	nitrite reductase	nitrite reductase
C3VJG2_9ARCH	nitrite reductase	nitrite reductase
C3VJG4_9ARCH	nitrite reductase	nitrite reductase
C3VJG5_9ARCH	nitrite reductase	nitrite reductase
C3VJG6_9ARCH	nitrite reductase	nitrite reductase
C3VJG7_9ARCH	nitrite reductase	nitrite reductase
D0RAY2_HALME	nitrite reductase	nitrite reductase
D4N6W3_9CREN	nitrite reductase	nitrite reductase
D4N705_9CREN	nitrite reductase	nitrite reductase
D4N747_9CREN	nitrite reductase	nitrite reductase
D4N777_9CREN	nitrite reductase	nitrite reductase
D4N793_9CREN	nitrite reductase	nitrite reductase
D4N794_9CREN	nitrite reductase	nitrite reductase
D4N796_9CREN	nitrite reductase	nitrite reductase
D4N797_9CREN	nitrite reductase	nitrite reductase
D4N798_9CREN	nitrite reductase	nitrite reductase
D4N799_9CREN	nitrite reductase	nitrite reductase
D4N7A0_9CREN	nitrite reductase	nitrite reductase
D4N7A1_9CREN	nitrite reductase	nitrite reductase
D4N7A2_9CREN	nitrite reductase	nitrite reductase
D4N7A3_9CREN	nitrite reductase	nitrite reductase
D4N7A5_9CREN	nitrite reductase	nitrite reductase
D4N7A7_9CREN	nitrite reductase	nitrite reductase
D4N7B4_9CREN	nitrite reductase	nitrite reductase
D4N7B5_9CREN	nitrite reductase	nitrite reductase
D4N7C1_9CREN	nitrite reductase	nitrite reductase
D4N7C2_9CREN	nitrite reductase	nitrite reductase
D4N7C8_9CREN	nitrite reductase	nitrite reductase
D4N7D0_9CREN	nitrite reductase	nitrite reductase
D4N7D2_9CREN	nitrite reductase	nitrite reductase
